ID,Date,Category,Amount,Note
,2026-08-10,,70,Sergio
msnd5877iehwr,2026-08-10,Other,30,Damir
msnd610az19ic,2026-08-09,Other,60,Sergio
msonts6m3dhkp,2026-08-11,Materials,40,Damir
